search_keyword,label,title,video_id,view_count,like_count,comment_count,published_at
조작,1,[#조작] 거짓의 그물에 걸린 사람들,Y-huTUaiDjc,861,12,1,2025-06-28T08:00:40Z
조작,1,"尹 정부 검찰의 &#39;조작기소 의혹&#39;  이재명의 최측근 김용, &quot;공소장이 러브레터냐?&quot; [봉터뷰]",PDgy7X8xHuA,13453,973,24,2026-03-20T04:13:14Z
비판,1,본인과 비판과 책임을 지겠다? 어떻게 책임질 건데? (ft. 장성철 소장),AEvi2WrauAM,79232,1529,16,2026-03-23T09:00:11Z
비판,1,BTS 향한 공개 비판 파장 / YTN star,-H3uR6jY5Fc,45439,434,106,2026-03-25T06:30:00Z
비판,1,#유시민 영상 제대로 안보고 비판하는 #신인규 [잼뉴] #잼있는뉴스,uB8p6ZaY6Yw,14405,534,151,2026-03-25T07:25:36Z
비판,1,"[자막] 황명필의 송곳 비판, 조국 대표 &#39;SBS 언론노조&#39; 직격과 닮은 꼴 (조국혁신당 최고위)",kGmsumMfpns,163828,8855,1872,2026-03-23T04:20:16Z
비판,1,"[자막] 황명필의 언론 비판, 조국 &#39;SBS 언론노조&#39;와 일치? (조국혁신당 최고위)",uGPY1Rycs6U,41426,1810,357,2026-03-23T04:45:09Z
비판,1,비판과 비난을 구분하는 방법 3가지 #비판 #비난 #말하기 #말하기연습 #커뮤니케이션 #인간관계조언,sIQPpAGdXds,2159,18,0,2025-01-16T23:00:53Z
비판,1,"李, &#39;SBS 그것이 알고 싶다&#39; 또 비판 [아침에 이슈] [뉴스퍼레이드]",qPQeKuGT9Mg,1875,76,55,2026-03-25T23:36:45Z
비판,1,&quot;음주운전 망했다&quot; 대통령 비판하더니...본인도 딱 걸린 유튜버｜지금 이 뉴스,kovUOEqaous,644721,9281,7173,2026-03-20T03:31:00Z
비판,1,&quot;세상에 공연할 데가 없어서...&quot; BTS 향한 공개 비판 파장 / YTN star,mGbE2Yngh0E,5360,70,123,2026-03-25T05:45:02Z
비판,1,#전쟁추경 &quot;또 퍼주기 하냐?!&quot; 비판에 답한 #이재명대통령 [잼뉴] #잼있는뉴스,qzDT1fgz0bQ,24735,2701,73,2026-03-24T03:06:31Z
비판,1,[오은영의 멘털 과외] ＂타인의 비판은 그 비판 감정의 주인에게 돌려주세요＂ | 오은영의 금쪽 상담소 1 회,b5OFm0R5ELE,553405,11218,486,2021-09-17T13:28:24Z
비판,1,"[뉴스트라다무스] 주호영 장동혁 비판!! &quot;비상식적인 공천 방치하면 대표 자격없어&quot;, &quot;이정현 뒤에 숨지마라&quot; 일침 #shorts",rJQOT7yBQn8,16869,175,7,2026-03-23T12:20:45Z
비판,1,&#39;유시민 작가 책 읽고 큰&#39; 패널들의 ABC론 비판 퍼레이드 ㅣ 이슈전파사 여의도노필터(강성필 정구승 정광재 설주완),9_hlZ8tUqVY,23010,1088,293,2026-03-25T11:30:14Z
비판,1,비와이가 쏘아 올린 성교육 논란…&#39;초등학생 성교육&#39; 비판한 내용 뭐길래 [이슈영상],ArcuivrdmHk,6806,163,124,2026-03-24T02:29:27Z
비판,1,[일당백] 버트런드 러셀 &quot;진실의 길은 종교보다 비판적 사고&quot;(feat.김만권 교수): 생각을 잃어버린 사회 1부,zXTZTWIiGoA,56986,1745,105,2025-05-16T11:01:47Z
비판,1,"[뉴스트라다무스] 주호영 장동혁 비판!! &quot;비상식적인 공천 방치하면 대표 자격없어&quot;, &quot;이정현 뒤에 숨지마라&quot; 일침",vbi7bqQ0OFI,5411,233,39,2026-03-23T12:18:05Z
비판,1,"&quot;민주당서도 얘기 나와&quot;...이준석, 이 대통령 비판 [Y녹취록] / YTN",s1KV3TUiBdQ,3027,39,56,2025-12-19T07:52:10Z
비판,1,유시민의 실명 거론 비판. 왜 김어준 조국은 비판 안 해?,Mwawx2VrWLA,36643,5006,809,2026-03-26T02:31:39Z
비판,1,"유시민이 비판한 참모 &amp; 정치인,  이재명대통령이 영입했는데? &quot;차라리 대통령을 비판하라&quot;  (20260319 목요일 클립) 김성근 신인규 곽수산",yo1pCADFq2M,38315,2846,1157,2026-03-19T11:01:48Z
비판,1,"친명 한준호, 김어준 방송서 정청래 비판 / 채널A / 뉴스TOP10",l_-LuN7Bjpg,11057,177,44,2026-03-19T10:14:59Z
비판,1,"[자막] 정청래, 논두렁 시계부터 조폭 연루설까지... SBS 정면 비판 (현장 최고위)",1gFQCvQnIrs,103384,3201,1015,2026-03-23T05:08:10Z
비판,1,"이언주, 유시민 &#39;뉴이재명&#39; 비판에 &quot;선민 주의...종교화돼&quot; | 황현희의 불편한 여의도 2부",KTXaqV_UuCs,22210,2040,754,2026-03-20T01:00:32Z
비판,1,"이재명, 김어준 비판했다? [티조Clip]",Wiqzcop_-vU,23425,353,165,2026-03-15T23:50:06Z
비판,1,진짜 비판 VS 가짜 비판 🤬,wqkTv5KrCEU,169651,6738,61,2025-01-25T05:06:17Z
비판,1,유시민 비판하는 신인규. 펙트는?,9uwHvPQ1jdA,11697,423,25,2026-03-25T10:40:26Z
비판,1,"&quot;내란재판부, 윤 총칼 계엄과 똑같다&quot;...민주 첫 공개 비판 / YTN",HcbCf7sJnNM,2556,21,45,2025-09-08T09:12:04Z
비판,1,"유시민 김어준 비판 언론, 찰떡 비유 최욱ㅋㅋ",f76ZqDS276s,54134,2723,220,2026-03-25T10:50:00Z
비판,1,&quot;&#39;우리가 황교안&#39; 당내 비판 멈춰달라&quot;…장동혁 &quot;윤 전 대통령 면회도 반응 좋다&quot;｜지금 이 뉴스,si_zVxpmrtU,2747,67,55,2025-11-13T09:15:56Z
비판,1,김어준 방송에서 김어준 비판한 뉴이재명 한준호 TV CHOSUN 260321 방송 | [강적들] 632회 | TV조선,XMKvviPrIEc,14724,125,22,2026-03-22T01:50:52Z
비판,1,"[🔴 무조건 간다 LIVE] 與, 김어준 비판 &#39;선긋기&#39;···김어준 &quot;무고로 걸겠다&quot; 사과 거부 맞불",94lfFznaZe8,20675,289,63,2026-03-13T17:08:18Z
비리,1,온갖 비리가 판치는 유즈맵 &quot;비리 컨트롤&quot;ㅋㅋ,ylGwaFv-Ot4,201171,1435,217,2026-03-14T13:01:47Z
비리,1,비리 경찰 선배들에 증거 스매시 날리는 성동일 ㄷㄷ,JqYGT0obTkk,472309,5374,64,2023-12-16T07:33:00Z
비리,1,"[꼬꼬무 106회 요약] 시험 성적 조작, 불법 찬조금... &#39;서울의 봄&#39;만큼 간절했던, 학교의 봄 | 꼬리에 꼬리를 무는 그날 이야기 (SBS방송)",jLcwHlXrpn8,1800583,13031,747,2023-12-15T14:30:23Z
비리,1,&#39;수사 청탁&#39; 현직 서장도 구속…부패·비리 &#39;심각&#39; / 연합뉴스TV (YonhapnewsTV),fR07FfsBotU,10632,194,122,2025-11-13T21:01:53Z
비리,1,&quot;사건 덮기 급급&quot; 의원 &#39;돌직구&#39; #비리 #기금 #포스코영남파워 #고발,7bG9HY9_l5Y,3980,46,0,2026-03-25T07:30:02Z
비리,1,"사상 최초 &quot;비리 판사&quot;라는 역대급 소재로, 시청률 개떡상중인 2026 새해 최고의 신작 ≪판사 이한영≫",3enNIaUimZM,1089983,6082,805,2026-01-04T01:01:25Z
비리,1,"비리·횡령·갑질에 불법 선거까지…7부 능선 넘은 농협법 개정안, 내년엔 달라질까 / KBS  2025.12.29.",knA1pDvQWaw,4563,28,27,2025-12-29T04:45:04Z
비리,1,&#39;뇌물 구속&#39; 비서실장 재임용? 강기정·민형배 &#39;측근 비리&#39; 공방 #shorts,SZOckNxyeVg,1963,24,11,2026-03-26T02:10:00Z
비리,1,[#왓쳐] 어떻게 이름도 &#39;도치광&#39; 비리 경찰 다 잡아들이려고 작정한 한석규의 팀 꾸리기,NF8HZpVMkUM,1517309,8016,258,2023-05-12T11:20:00Z
비리,1,비리가 터지자 사우나에서 사람패는 시장님 ㅋ #클라이맥스 #차주영,27nmC87wBtc,3049,24,0,2026-03-25T09:45:00Z
비리,1,큰 사고 친 재벌 아들 대타 구하는 비리 검사,WzWEyhbYcwE,137505,331,0,2026-03-21T08:05:00Z
비리,1,학점 장사한 비리 대학의 최후,1FHpo9C2Wcc,7570,52,3,2026-03-25T22:00:04Z
비리,1,[자막] 해군 장교 준비생의 일침: “군수 방산비리·처우개선 시급합니다” 이재명 대통령 답변은?,eSOlW_ypvlc,51046,893,272,2025-12-05T07:53:08Z
비리,1,뇌물 의혹 공무원·업자 17명 적발…장기간 조직적 비리 의혹 / KBS  2025.05.26.,dBe4d5SagOg,3494,32,26,2025-05-26T10:54:12Z
비리,1,&#39;비리 검사&#39;였던 동재가 &#39;비리 조사&#39;하는 동재로❓ #좋거나나쁜동재,bYWuSP-lfrY,1684,62,4,2024-11-12T13:43:00Z
비리,1,농협 감사했더니 충격..알고보니 &#39;비리 백화점&#39; [뉴스 톺아보기],eWwccyF6BF0,20599,252,107,2026-03-12T08:34:39Z
비리,1,"당정, 농협 비리 정조준…“농협감사위 신설, 회장 선거 개선” / KBS  2026.03.11.",5RqJNmnaPUM,3000,28,12,2026-03-11T08:23:54Z
비리,1,비리 교사 복귀 &#39;질타&#39;‥ &#39;채용비리·음주운전&#39; 지적도 (2025.10.22/뉴스데스크/전주MBC),z18yYdvrD_8,4576,101,19,2025-10-23T03:01:11Z
